Date,vix,inflation,mort30us
2006-03-02,12.357333333333282,0.005535983895319729,0.06199999999999939
2006-03-03,12.220666666666613,0.005535983895319729,0.06199999999999939
2006-03-06,12.146666666666613,0.005535983895319729,0.06199999999999939
2006-03-07,12.06933333333328,0.005535983895319729,0.06199999999999939
2006-03-08,12.060666666666613,0.005535983895319729,0.06199999999999939
2006-03-09,12.014666666666614,0.005535983895319729,0.06199999999999939
2006-03-10,12.01933333333328,0.005535983895319729,0.06199999999999939
2006-03-13,12.043999999999947,0.005535983895319729,0.06199999999999939
2006-03-14,12.068666666666614,0.005535983895319729,0.06199999999999939
2006-03-15,12.025999999999948,0.005535983895319729,0.06199999999999939
2006-03-16,11.914666666666616,0.005535983895319729,0.06199999999999939
2006-03-17,11.879333333333282,0.005535983895319729,0.06199999999999939
2006-03-20,11.886666666666615,0.005535983895319729,0.06199999999999939
2006-03-21,11.930666666666614,0.005535983895319729,0.06199999999999939
2006-03-22,11.943999999999948,0.005535983895319729,0.06199999999999939
2006-03-23,11.895999999999948,0.005535983895319729,0.06199999999999939
2006-03-24,11.873999999999947,0.005535983895319729,0.06199999999999939
2006-03-27,11.83733333333328,0.005535983895319729,0.06199999999999939
2006-03-28,11.785999999999946,0.005535983895319729,0.06199999999999939
2006-03-29,11.700666666666613,0.005535983895319729,0.06199999999999939
2006-03-30,11.628666666666614,0.005535983895319729,0.06199999999999939
2006-03-31,11.537333333333281,0.005535983895319729,0.06199999999999939
2006-04-03,11.46333333333328,0.005535983895319729,0.11533333333333307
2006-04-04,11.432666666666613,0.005535983895319729,0.11533333333333307
2006-04-05,11.445999999999945,0.005535983895319729,0.11533333333333307
2006-04-06,11.472666666666612,0.005535983895319729,0.11533333333333307
2006-04-07,11.457999999999945,0.005535983895319729,0.11533333333333307
2006-04-10,11.422666666666611,0.005535983895319729,0.11533333333333307
2006-04-11,11.431999999999944,0.005535983895319729,0.11533333333333307
2006-04-12,11.45866666666661,0.005535983895319729,0.11533333333333307
2006-04-13,11.550666666666611,0.005535983895319729,0.11533333333333307
2006-04-17,11.653999999999943,0.005535983895319729,0.11533333333333307
2006-04-18,11.73466666666661,0.005535983895319729,0.11533333333333307
2006-04-19,11.827333333333279,0.005535983895319729,0.11533333333333307
2006-04-20,11.823333333333277,0.005535983895319729,0.11533333333333307
2006-04-21,11.805999999999944,0.005535983895319729,0.11533333333333307
2006-04-24,11.851999999999945,0.005535983895319729,0.11533333333333307
2006-04-25,11.853333333333278,0.005535983895319729,0.11533333333333307
2006-04-26,11.877333333333278,0.005535983895319729,0.11533333333333307
2006-04-27,11.889333333333278,0.005535983895319729,0.11533333333333307
2006-04-28,11.930666666666612,0.005535983895319729,0.11533333333333307
2006-05-01,11.977999999999946,0.005535983895319729,0.11533333333333307
2006-05-02,11.98733333333328,0.00496277915632759,0.11533333333333307
2006-05-03,12.005999999999947,0.00496277915632759,0.11533333333333307
2006-05-04,11.992666666666615,0.00496277915632759,0.11533333333333307
2006-05-05,11.925333333333281,0.00496277915632759,0.11533333333333307
2006-05-08,11.86533333333328,0.00496277915632759,0.11533333333333307
2006-05-09,11.814666666666616,0.00496277915632759,0.11533333333333307
2006-05-10,11.775999999999948,0.00496277915632759,0.11533333333333307
2006-05-11,11.815333333333282,0.00496277915632759,0.11533333333333307
2006-05-12,11.845999999999949,0.00496277915632759,0.11533333333333307
2006-05-15,11.902666666666615,0.00496277915632759,0.11533333333333307
2006-05-16,12.075999999999947,0.00496277915632759,0.11533333333333307
2006-05-17,12.197333333333281,0.00496277915632759,0.11533333333333307
2006-05-18,12.303999999999947,0.00496277915632759,0.11533333333333307
2006-05-19,12.603999999999948,0.00496277915632759,0.11533333333333307
2006-05-22,12.947333333333281,0.00496277915632759,0.11533333333333307
2006-05-23,13.319999999999947,0.00496277915632759,0.11533333333333307
2006-05-24,13.665333333333281,0.00496277915632759,0.11533333333333307
2006-05-25,14.08333333333328,0.00496277915632759,0.11533333333333307
2006-05-26,14.441333333333281,0.00496277915632759,0.11533333333333307
2006-05-30,14.683999999999946,0.00496277915632759,0.11533333333333307
2006-05-31,14.859999999999946,0.00496277915632759,0.11533333333333307
2006-06-01,15.303999999999945,0.00496277915632759,0.29666666666666774
2006-06-02,15.60066666666661,0.0019753086419753707,0.29666666666666774
2006-06-05,15.783333333333278,0.0019753086419753707,0.29666666666666774
2006-06-06,15.905333333333278,0.0019753086419753707,0.29666666666666774
2006-06-07,16.06933333333328,0.0019753086419753707,0.29666666666666774
2006-06-08,16.32066666666661,0.0019753086419753707,0.29666666666666774
2006-06-09,16.617333333333278,0.0019753086419753707,0.29666666666666774
2006-06-12,16.75666666666661,0.0019753086419753707,0.29666666666666774
2006-06-13,16.831999999999944,0.0019753086419753707,0.29666666666666774
2006-06-14,17.083999999999943,0.0019753086419753707,0.29666666666666774
2006-06-15,17.48999999999994,0.0019753086419753707,0.29666666666666774
2006-06-16,17.703333333333273,0.0019753086419753707,0.29666666666666774
2006-06-19,17.605999999999938,0.0019753086419753707,0.29666666666666774
2006-06-20,17.722666666666605,0.0019753086419753707,0.29666666666666774
2006-06-21,17.960666666666604,0.0019753086419753707,0.29666666666666774
2006-06-22,17.82933333333327,0.0019753086419753707,0.29666666666666774
2006-06-23,17.767999999999933,0.0019753086419753707,0.29666666666666774
2006-06-26,17.8586666666666,0.0019753086419753707,0.29666666666666774
2006-06-27,17.963333333333267,0.0019753086419753707,0.29666666666666774
2006-06-28,17.894666666666602,0.0019753086419753707,0.29666666666666774
